chinese,english,status,source
老羞成怒,angry at one's humiliation,VERIFIED,PETCI
老成持重,capable and reliable,VERIFIED,PETCI
老生常谈,Sunday school truth,VERIFIED,PETCI
老鼠过街，人人喊打,"when a rat runs across the street, everybody cries, ""Kill it!""",VERIFIED,PETCI
耐人寻味,afford food for thought,VERIFIED,PETCI
耳目一新,a refreshing change,VERIFIED,PETCI
耳提面命,give earnest exhortations,VERIFIED,PETCI
耳食之谈,accept readily without comprehending what is heard,VERIFIED,PETCI
耳熟能详,often heard and well remembered,VERIFIED,PETCI
耳濡目染,be imperceptibly influenced by what one constantly sees and hears,VERIFIED,PETCI
耳聪目明,can hear and see well,VERIFIED,PETCI
耳闻不如目见,seeing for oneself is better than hearing from others,VERIFIED,PETCI
耳闻目睹,what one hears and sees,VERIFIED,PETCI
聊胜于无,half a loaf is better than no bread,VERIFIED,PETCI
聊以自慰,just to console oneself,VERIFIED,PETCI
聊以卒岁,just to tide over the year,VERIFIED,PETCI
聚精会神,focus one's attention on,VERIFIED,PETCI
聚沙成塔,many a little makes a mickle,VERIFIED,PETCI
众说纷纭,opinions are widely divided,VERIFIED,PETCI
闻风丧胆,become terror-stricken at the news,VERIFIED,PETCI
闻风而起,go into action without delay,VERIFIED,PETCI
闻名不如见面,know a man by repute is not as good as meeting him face to face,VERIFIED,PETCI
闻过则喜,be glad to have one's errors pointed out,VERIFIED,PETCI
闻所未闻,unheard-of,VERIFIED,PETCI
闻一知十,infer the whole matter after hearing but one point,VERIFIED,PETCI
联翩而至,arrive in close succession,VERIFIED,PETCI
聪明反被聪明误,cleverness may overreach itself,VERIFIED,PETCI
聪明才智,intelligence and wisdom,VERIFIED,PETCI
聪明一世，糊涂一时,"smart as a rule, but this time a fool",VERIFIED,PETCI
声名狼藉,unsavory,VERIFIED,PETCI
声东击西,make a feint,VERIFIED,PETCI
声泪俱下,in a tearful voice,VERIFIED,PETCI
声势浩大,a large-scale,VERIFIED,PETCI
声嘶力竭,shout oneself blue in the face,VERIFIED,PETCI
声色俱厉,severe in voice and countenance,VERIFIED,PETCI
声威大震,gain resounding fame,VERIFIED,PETCI
耸人听闻,sensational,VERIFIED,PETCI
耸入云霄,rise above the clouds,VERIFIED,PETCI
听天由命,happy-go-lucky,VERIFIED,PETCI
听其自然,leave to chance,VERIFIED,PETCI
听其言而观其行,judge people by their deeds not just by their words,VERIFIED,PETCI
听之任之,let one have one's own way,VERIFIED,PETCI
肆无忌惮,run riot,VERIFIED,PETCI
肃然起敬,a feeling of profound respect,VERIFIED,PETCI
肝胆相照,show utter devotion to,VERIFIED,PETCI
肝胆涂地,be extremely loyal to,VERIFIED,PETCI
肩摩毂击,overcrowded with people and traffic,VERIFIED,PETCI
肺腑之言,words from the bottom of one's heart,VERIFIED,PETCI
背道而驰,run counter to,VERIFIED,PETCI
背信弃义,traitorous,VERIFIED,PETCI
背城借一,put up a desperate struggle,VERIFIED,PETCI
背水一战,a death-struggle,VERIFIED,PETCI
胡说八道,rubbish,VERIFIED,PETCI
胡作非为,run amuck,VERIFIED,PETCI
胡思乱想,let one's imagination run away with him,VERIFIED,PETCI
胡言乱语,babble about,VERIFIED,PETCI
胸怀坦白,openhearted,VERIFIED,PETCI
胸中有数,have a good idea of how things stand,VERIFIED,PETCI
胸中无数,have no idea of how things stand,VERIFIED,PETCI
胸有成竹,"have a well-thought-out plan, stratagem, etc. beforehand",VERIFIED,PETCI
胸无点墨,unlearned,VERIFIED,PETCI
胸无城府,open and unreserved,VERIFIED,PETCI
胸无宿物,utterly simple and unreserved,VERIFIED,PETCI
能屈能伸,adaptable to circumstances,VERIFIED,PETCI
能者多劳,able people should do more work,VERIFIED,PETCI
能者为师,let these who know teach,VERIFIED,PETCI
能上能下,be ready to work both at the top or at the grass roots,VERIFIED,PETCI
能说会道,be a smart talker,VERIFIED,PETCI
能文能武,capable of handling both military and civilian affairs,VERIFIED,PETCI
胁肩谄笑,cringe and smile obsequiously,VERIFIED,PETCI
唇枪舌剑,engage in a battle of words,VERIFIED,PETCI
唇齿相依,be closely related and mutually dependent,VERIFIED,PETCI
唇亡齿寒,share a common lot,VERIFIED,PETCI
脱胎换骨,turn over a new leaf,VERIFIED,PETCI
脱口而出,let slip,VERIFIED,PETCI
脱缰之马,uncontrollable as a wild horse without bridle,VERIFIED,PETCI
脱颖而出,become eminent,VERIFIED,PETCI
脚踏两只船,have a foot in either camp,VERIFIED,PETCI
脚踏实地,earnest and down-to-earth,VERIFIED,PETCI
脑满肠肥,heavy-jowled and potbellied - the idle rich,VERIFIED,PETCI
腹背受敌,be attacked from all sides,VERIFIED,PETCI
膏粱子弟,good-for-nothing sons of the idle rich,VERIFIED,PETCI
胆大包天,audacious in the extreme,VERIFIED,PETCI
胆大心细,bold but cautious,VERIFIED,PETCI
胆小如鼠,as timid as a mouse,VERIFIED,PETCI
胆大妄为,reckless,VERIFIED,PETCI
胆战心惊,strike terror into the heart of,VERIFIED,PETCI
脍炙人口,win universal praise,VERIFIED,PETCI
卧薪尝胆,nurse vengeance,VERIFIED,PETCI
临别赠言,parting advice,VERIFIED,PETCI
临渴掘井,do a thing at the 11th hour,VERIFIED,PETCI
临机应变,cope with any contingency,VERIFIED,PETCI
临阵磨枪,start to prepare only at the last moment,VERIFIED,PETCI
临阵脱逃,hightail it off at the first contact with the enemy,VERIFIED,PETCI
临深履薄,"""as if on the brink of the abyss, as if treading on thin ice"" - cautions",VERIFIED,PETCI
临危不惧,remain calm in the face of a crisis,VERIFIED,PETCI
临渊羡鱼，不如归而结网,one should take practical steps to achieve one's aims,VERIFIED,PETCI
自暴自弃,abandon oneself to despair,VERIFIED,PETCI
自不量力,overreach oneself,VERIFIED,PETCI
自卖自夸,blow one's own trumpet,VERIFIED,PETCI
自命不凡,have an unduly high opinion of oneself,VERIFIED,PETCI
自鸣得意,be puffed up with pride,VERIFIED,PETCI
自鸣清高,imagine oneself to be superior to others,VERIFIED,PETCI
自得其乐,be content with one's lot,VERIFIED,PETCI
自讨苦吃,do something which will only cause trouble to oneself,VERIFIED,PETCI
自投罗网,fall into one's own snare,VERIFIED,PETCI
自力更生,stand on one's own feet,VERIFIED,PETCI
自告奋勇,volunteer,VERIFIED,PETCI
自高自大,arrogant,VERIFIED,PETCI
自顾不暇,unable to take care of oneself,VERIFIED,PETCI
自给自足,self-sufficiency,VERIFIED,PETCI
自掘坟墓,bring ruin upon oneself,VERIFIED,PETCI
自觉自愿,voluntarily,VERIFIED,PETCI
自欺欺人,cheat oneself and others,VERIFIED,PETCI
自强不息,constantly strive to become stronger,VERIFIED,PETCI
自取灭亡,head for disaster,VERIFIED,PETCI
自取其咎,have only oneself to blame,VERIFIED,PETCI
自信不疑,be sure of oneself,VERIFIED,PETCI
自相矛盾,contradict oneself,VERIFIED,PETCI
自相惊扰,raise false alarms,VERIFIED,PETCI
自相残杀,mutual annihilation,VERIFIED,PETCI
自行其是,go one's own way,VERIFIED,PETCI
自寻烦恼,bring vexation on oneself,VERIFIED,PETCI
自寻死路,bring about one's own destruction,VERIFIED,PETCI
自知之明,know one's own limitations,VERIFIED,PETCI
自成一家,found a new school of,VERIFIED,PETCI
自吹自擂,blows one's own trumpet,VERIFIED,PETCI
自食其力,self-supporting,VERIFIED,PETCI
自食其果,face the consequences of one's action,VERIFIED,PETCI
自食其言,break one's own promise,VERIFIED,PETCI
自始至终,from start to finish,VERIFIED,PETCI
自生自灭,run its course,VERIFIED,PETCI
自然而然,naturally,VERIFIED,PETCI
自认倒楣,grin and bear it,VERIFIED,PETCI
自作主张,decide for oneself,VERIFIED,PETCI
自作自受,suffer the consequences of one's own action,VERIFIED,PETCI
自作聪明,think oneself clever,VERIFIED,PETCI
自惭形秽,have a sense of inferiority or inadequacy,VERIFIED,PETCI
自私自利,selfish,VERIFIED,PETCI
自以为得计,fancy oneself clever,VERIFIED,PETCI
自以为是,be cocksure,VERIFIED,PETCI
自由泛滥,have free rein,VERIFIED,PETCI
自由放任,laissez-faire,VERIFIED,PETCI
自由自在,free and unrestrained,VERIFIED,PETCI
自言自语,keep on chattering though to one is listening,VERIFIED,PETCI
自我陶醉,imagine oneself to be better than one really is,VERIFIED,PETCI
自我解嘲,console oneself with soothing remarks,VERIFIED,PETCI
自我吹嘘,boast smugly,VERIFIED,PETCI
自我作故,be the first to do something,VERIFIED,PETCI
自圆其说,explain away,VERIFIED,PETCI
自怨自艾,be full of remorse,VERIFIED,PETCI
臭不可当,give off an unbearable stink,VERIFIED,PETCI
臭皮囊,a bag of stinking fluids - the human body,VERIFIED,PETCI
臭名远扬,notorious,VERIFIED,PETCI
臭气熏天,reek to high heaven,VERIFIED,PETCI
臭味相投,be two of a hind,VERIFIED,PETCI
至理名言,maxim,VERIFIED,PETCI
至高无上,supreme,VERIFIED,PETCI
至死不变,constant till death,VERIFIED,PETCI
至死不悟,incorrigibly stubborn,VERIFIED,PETCI
与虎谋皮,ask a tiger for its hide,VERIFIED,PETCI
与众不同,different with the others,VERIFIED,PETCI
与世长辞,pass away,VERIFIED,PETCI
与世无争,hold oneself aloof from the world,VERIFIED,PETCI
与日俱增,be steadily on the increase,VERIFIED,PETCI
与人为善,do good for people,VERIFIED,PETCI
兴风作浪,make waves,VERIFIED,PETCI
兴利除弊,promote what is beneficial and abolish what is harmful,VERIFIED,PETCI
兴高采烈,in high spirits,VERIFIED,PETCI
兴致勃勃,in high spirits,VERIFIED,PETCI
兴师动众,move troops about and stir up the people,VERIFIED,PETCI
兴师问罪,send a punitive expedition against,VERIFIED,PETCI
兴妖作怪,conjure up a host of demons to make mischief,VERIFIED,PETCI
兴味索然,dull and uninteresting,VERIFIED,PETCI
举不胜举,too numerous to mention,VERIFIED,PETCI
举目无亲,have no one to turn to,VERIFIED,PETCI
举国上下,the whole nation,VERIFIED,PETCI
举棋不定,be unable to make up one's mind,VERIFIED,PETCI
举世瞩目,attract worldwide attention,VERIFIED,PETCI
举世无敌,without an equal in the world,VERIFIED,PETCI
举世无双,unrivaled,VERIFIED,PETCI
举世闻名,world-famous,VERIFIED,PETCI
举足轻重,play a decisive role,VERIFIED,PETCI
举措失当,make false moves,VERIFIED,PETCI
举一反三,infer other things from one fact,VERIFIED,PETCI
旧瓶装新酒,new wine in old bottles,VERIFIED,PETCI
旧地重游,revisit a once familiar place,VERIFIED,PETCI
旧调重弹,harp on the same old tunes,VERIFIED,PETCI
旧恨新仇,new hatred piled on old,VERIFIED,PETCI
旧仇宿怨,old grudge inveterate hatred,VERIFIED,PETCI
舌敝唇焦,"wear oneself out in pleading, expostulating, etc.",VERIFIED,PETCI
舞文弄墨,indulge in fancy writing,VERIFIED,PETCI
良辰美景,beautiful scene on a bright day,VERIFIED,PETCI
良师益友,good teachers and helpful friends,VERIFIED,PETCI
良药苦口,good medicine tastes bitter,VERIFIED,PETCI
良药苦口利于病，忠言逆耳利于行,"just as bitter medicine cures sickness, so unpalatable advice benefits conduct",VERIFIED,PETCI
良莠不齐,the good and the bad are intermingled,VERIFIED,PETCI
艰难竭蹶,difficulties and hardships,VERIFIED,PETCI
艰难曲折,arduous and tortuous,VERIFIED,PETCI
艰难险阻,difficulties and dangers,VERIFIED,PETCI
艰苦朴素,hard work and plain living,VERIFIED,PETCI
艰苦奋斗,through hard struggle,VERIFIED,PETCI
艰苦卓绝,extreme hardships and difficulties,VERIFIED,PETCI
色厉内荏,be tough-looking outside but really timid within,VERIFIED,PETCI
芒刺在背,feel nervous and uneasy,VERIFIED,PETCI
花天酒地,indulge in gay life and debauchery,VERIFIED,PETCI
花团锦簇,bouquets of flowers and piles of silks - rich multicolored decorations,VERIFIED,PETCI
花好月圆,perfect conjugal bliss,VERIFIED,PETCI
花花公子,a dandy,VERIFIED,PETCI
花花世界,this mortal world,VERIFIED,PETCI
花枝招展,be gorgeously dressed,VERIFIED,PETCI
花朝月夕,beautiful days and nights with moon and flowers,VERIFIED,PETCI
花言巧语,fair words,VERIFIED,PETCI
苛捐杂税,exorbitant taxes and miscellaneous levies,VERIFIED,PETCI
若明若暗,have a hazy notion about,VERIFIED,PETCI
若即若离,maintain a lukewarm relationship,VERIFIED,PETCI
若要人不知，除非己莫为,the only way to keep people from knowing something is not to do it,VERIFIED,PETCI
若有所失,feel lost,VERIFIED,PETCI
若有所思,seem lost in thought,VERIFIED,PETCI
若隐若现,partly hidden and partly visible,VERIFIED,PETCI
若无其事,calmly,VERIFIED,PETCI
苦大仇深,suffer bitterly and nurse deep hatred,VERIFIED,PETCI
苦口婆心,advise somebody time and again in earnest words and with good intention,VERIFIED,PETCI
苦海无边，回头是岸,escape from the human world of woes and find salvation,VERIFIED,PETCI
苦尽甘来,after suffering comes happiness,VERIFIED,PETCI
苦心孤诣,drive oneself mercilessly to attain one's goal,VERIFIED,PETCI
苦心经营,work oui with unsparing efforts,VERIFIED,PETCI
英雄所见略同,great minds think alike,VERIFIED,PETCI
英雄无用武之地,no scope for one's energies,VERIFIED,PETCI
英姿飒爽,bright and brave,VERIFIED,PETCI
茁壮成长,grow up healthy and strong,VERIFIED,PETCI
苟且偷安,seek momentary ease,VERIFIED,PETCI
苟延残喘,eke out a meagre life,VERIFIED,PETCI
茫无头绪,not know where to begin,VERIFIED,PETCI
茶余饭后,spend one's leisure time doing something,VERIFIED,PETCI
茹毛饮血,live the life of a primitive man,VERIFIED,PETCI
草木皆兵,be afraid of one's own shadow,VERIFIED,PETCI
草菅人命,have complete disregard for human life,VERIFIED,PETCI
草草了事,get through with something hastily,VERIFIED,PETCI
荒谬绝伦,extremely ludicrous,VERIFIED,PETCI
荒诞不经,fantastic,VERIFIED,PETCI
荒诞无稽,absurd end unbelievable,VERIFIED,PETCI
荒时暴月,lean year,VERIFIED,PETCI
荒淫无耻,dissipated and unashamed,VERIFIED,PETCI
荒无人烟,desolate and uninhabited,VERIFIED,PETCI
荼毒生灵,plunge the people into the depths of suffering,VERIFIED,PETCI
莫名其妙,baffling,VERIFIED,PETCI
莫逆之交,bosom friends,VERIFIED,PETCI
莫衷一是,unable to agree or decide which is right,VERIFIED,PETCI
莫此为甚,one can expect nothing beyond this,VERIFIED,PETCI
莫测高深,enigmatic,VERIFIED,PETCI
华而不实,superficially clever,VERIFIED,PETCI
萍水相逢,"casual, temporary meeting",VERIFIED,PETCI
萎靡不振,in low spirits,VERIFIED,PETCI
荆棘载途,a path beset with difficulties,VERIFIED,PETCI
万般皆下品，惟有读书高,"all occupations are ranked low, only book-learning is exalted",VERIFIED,PETCI
万变不离其宗,the central theme remains the same,VERIFIED,PETCI
万马奔腾,ten thousand horses galloping ahead,VERIFIED,PETCI
万马齐喑,ten thousand horses standing mute,VERIFIED,PETCI
万目睽睽,all eyes are fixed on,VERIFIED,PETCI
万籁俱寂,all sounds are hushed,VERIFIED,PETCI
万里长征,a long march of ten thousand li,VERIFIED,PETCI
万古流芳,will be remembered throughout the ages,VERIFIED,PETCI
万古千秋,forever,VERIFIED,PETCI
万古长青,be everlasting,VERIFIED,PETCI
万古长存,last forever,VERIFIED,PETCI
万家灯火,a myriad of twinkling lights,VERIFIED,PETCI
万劫不复,beyond redemption,VERIFIED,PETCI
万象更新,everything is fresh again,VERIFIED,PETCI
万众一心,all united in one purpose,VERIFIED,PETCI
万事大吉,everything goes off without a hitch,VERIFIED,PETCI
万事亨通,everything goes well,VERIFIED,PETCI
万事俱备，只欠东风,all is ready except what is crucial,VERIFIED,PETCI
万寿无疆,a long life,VERIFIED,PETCI
万水千山,ten thousand crags and torrents,VERIFIED,PETCI
万人空巷,the whole town turns out,VERIFIED,PETCI
万紫千红,a riot of color,VERIFIED,PETCI
万死一生,only one chance in ten thousand of preserving the life,VERIFIED,PETCI
万应灵丹,panacea,VERIFIED,PETCI
万无一失,perfectly safe,VERIFIED,PETCI
落拓不羁,unconventional and uninhibited,VERIFIED,PETCI
落落大方,carry oneself gracefully,VERIFIED,PETCI
落落寡合,aloof,VERIFIED,PETCI
落花流水,be shattered to pieces,VERIFIED,PETCI
落花有意，流水无情,unrequited love,VERIFIED,PETCI
落荒而走,take to flight,VERIFIED,PETCI
落井下石,strike a person when he is down,VERIFIED,PETCI
叶落归根,falling leaves settle on their roots,VERIFIED,PETCI
叶公好龙,professed love of what one really fears,VERIFIED,PETCI
蒙昧无知,childish ignorance,VERIFIED,PETCI
蒙头转向,lose one's bearings,VERIFIED,PETCI
蒙混过关,slip by,VERIFIED,PETCI
蒙在鼓里,be kept in the dark,VERIFIED,PETCI
蒸蒸日上,greater and greater prosperity,VERIFIED,PETCI
盖棺论定,a man's merits or demerits can be finally judged only after his death,VERIFIED,PETCI
蓬头垢面,with dishevelled hair and a dirty face,VERIFIED,PETCI
蔚然成风,become a common practice,VERIFIED,PETCI
蔚为大观,be a sight to behold,VERIFIED,PETCI
萧规曹随,follow established rules,VERIFIED,PETCI
藏头露尾,speak evasively,VERIFIED,PETCI
藏龙卧虎,hidden dragons and crouching tigers,VERIFIED,PETCI
藏污纳垢,a place infested with bad elements,VERIFIED,PETCI
藕断丝连,the affection cannot be entirely severed,VERIFIED,PETCI
药石之言,unpleasant but needed advice,VERIFIED,PETCI
虎背熊腰,stalwart men,VERIFIED,PETCI
虎头蛇尾,a brave beginning but a weak ending,VERIFIED,PETCI
虎口余生,a narrow escape from death,VERIFIED,PETCI
虎视眈眈,glare at fiercely,VERIFIED,PETCI
虎尾春冰,walking on thin ice,VERIFIED,PETCI
处心积虑,deliberately plan,VERIFIED,PETCI
处之泰然,take it easy,VERIFIED,PETCI
虚怀若谷,have o mind as open as a valley,VERIFIED,PETCI
虚己以听,listen patiently,VERIFIED,PETCI
虚情假意,false display of affection,VERIFIED,PETCI
虚张声势,make an empty show of strength,VERIFIED,PETCI
虚有其表,appear better than it is,VERIFIED,PETCI
虚应故事,a mere formality,VERIFIED,PETCI
虚无缥缈,"abstruse, vague, insubstantial",VERIFIED,PETCI
虚位以待,a vacant seat awaits,VERIFIED,PETCI
虚与委蛇,deal with somebody courteously but without sincerity,VERIFIED,PETCI
蚍蜉撼树,ridiculously overrating one's own strength,VERIFIED,PETCI
蛛丝马迹,"clues, traces",VERIFIED,PETCI
蛟龙得水,a hero gets an opportunity for showing his prowess,VERIFIED,PETCI
蜕化变质,degenerate,VERIFIED,PETCI
蜀犬吠日,an ignorant person makes a fuss about something which he alone finds strange,VERIFIED,PETCI
蜻蜓点水,touch on something without going into it deeply,VERIFIED,PETCI
虾兵蟹将,ineffective troops,VERIFIED,PETCI
融会贯通,bring together and understand thoroughly,VERIFIED,PETCI
蚂蚁啃骨头,plod away at a big job bit by bit,VERIFIED,PETCI
螳臂当车,throw straws against the wind,VERIFIED,PETCI
螳螂捕蝉，黄雀在后,"the mantis stalks the cicada, unaware of the oriole behind",VERIFIED,PETCI
蝇头小利,very small profit,VERIFIED,PETCI
蝇营狗苟,shamelessly seek personal gain,VERIFIED,PETCI
蠢蠢欲动,ready to make trouble,VERIFIED,PETCI
蚕食鲸吞,seize another country's territory by piecemeal encroachment or wholesale annexation,VERIFIED,PETCI
蛊惑人心,blind the minds of the people,VERIFIED,PETCI
蛮横无理,rude and unreasonable,VERIFIED,PETCI
血流成河,blood flows enough to make a river,VERIFIED,PETCI
血流如注,shed blood like water,VERIFIED,PETCI
血口喷人,smite with the tongue,VERIFIED,PETCI
血海深仇,intense and deep-seated hatred,VERIFIED,PETCI
血气方刚,in the prime of youth,VERIFIED,PETCI
血肉横飞,bodies blown to bits,VERIFIED,PETCI
血肉相联,be related by flesh and blood,VERIFIED,PETCI
血案如山,with a list of bloody crimes,VERIFIED,PETCI
众叛亲离,the masses are in rebellion and one's friends are deserting,VERIFIED,PETCI
众目睽睽,in the public eye,VERIFIED,PETCI
众目昭彰,everyone sees it clearly,VERIFIED,PETCI
众怒难犯,you cannot afford to incur public wrath,VERIFIED,PETCI
众寡悬殊,not equally matched,VERIFIED,PETCI
众口难调,it is difficult to please everyone,VERIFIED,PETCI
众口铄金,public opinion will fuse metals,VERIFIED,PETCI
众擎易举,many hands make light work,VERIFIED,PETCI
众志成城,unity is strength,VERIFIED,PETCI
众矢之的,the target of public criticise,VERIFIED,PETCI
众说纷纭，莫衷一是,"as opinions vary, no unanimous conclusion can be drawn",VERIFIED,PETCI
众人拾柴火焰高,great things may be done by mass effort,VERIFIED,PETCI
众所周知,as everyone knows,VERIFIED,PETCI
众望所归,enjoy popular confidence,VERIFIED,PETCI
行百里者半九十,one must sustain one's effort when a task is nearing completion,VERIFIED,PETCI
行同狗彘,make a beast of oneself,VERIFIED,PETCI
行行出状元,every trade has its master,VERIFIED,PETCI
行将就木,have one foot in the grave,VERIFIED,PETCI
行之有效,effective,VERIFIED,PETCI
行成于思,success depends on forethought,VERIFIED,PETCI
行尸走肉,a walking corpse,VERIFIED,PETCI
行若无事,behave as if nothing had happened,VERIFIED,PETCI
行远自迩,step by step,VERIFIED,PETCI
行云流水,free-flowing style of writing,VERIFIED,PETCI
街头巷尾,streets and lanes,VERIFIED,PETCI
街谈巷议,street gossip,VERIFIED,PETCI
冲锋陷阵,charge forward,VERIFIED,PETCI
衣不蔽体,be dressed in rags,VERIFIED,PETCI
衣冠禽兽,a brute,VERIFIED,PETCI
衣冠楚楚,smartly dressed,VERIFIED,PETCI
衣架饭囊,useless lazy persons,VERIFIED,PETCI
衣锦还乡,return home after making good,VERIFIED,PETCI
表里如一,sincere,VERIFIED,PETCI
袖手旁观,stand by and do nothing,VERIFIED,PETCI
被褐怀玉,not show off one's talent,VERIFIED,PETCI
里应外合,"work in collusion, one from without and the other from within",VERIFIED,PETCI
补偏救弊,rectify deviation and error,VERIFIED,PETCI
装模作样,indulge in histrionics,VERIFIED,PETCI
装疯卖傻,pretend ignorance,VERIFIED,PETCI
装聋作哑,pretend to be ignorant of something,VERIFIED,PETCI
装潢门面,keep up appearances,VERIFIED,PETCI
装腔作势,be affected or pretentious,VERIFIED,PETCI
裹足不前,hesitate to proceed,VERIFIED,PETCI
襟怀坦白,straightforward,VERIFIED,PETCI
要言不烦,terse,VERIFIED,PETCI
覆水难收,there is no use crying over spilt milk,VERIFIED,PETCI
覆巢之下无完卵,all involved,VERIFIED,PETCI
见风转舵,see how the wind blows,VERIFIED,PETCI
见缝插针,make use of every bit of time or space,VERIFIED,PETCI
见多识广,have seen much of the world,VERIFIED,PETCI
见利忘义,forget all moral principles at the sight of profits,VERIFIED,PETCI
见猎心喜,thrill to see one's favorite sport and itch to have a go,VERIFIED,PETCI
见怪不怪,become inured to the unusual,VERIFIED,PETCI
见机行事,do as one sees fit,VERIFIED,PETCI
见仁见智,opinions differ,VERIFIED,PETCI
见所未见，闻所未闻,unprecedented,VERIFIED,PETCI
见异思迁,desire to change one's work the moment one sees something different,VERIFIED,PETCI
见义勇为,never hesitate to do what is right,VERIFIED,PETCI
见物不见人,see things but not people,VERIFIED,PETCI
见微知著,from one small clue one can see what is coming,VERIFIED,PETCI
规矩准绳,fixed laws,VERIFIED,PETCI
规行矩步,follow the beaten track,VERIFIED,PETCI
视同路人,regard as a stranger,VERIFIED,PETCI
视同儿戏,treat as a trifle,VERIFIED,PETCI
视如敝屣,cast aside as worthless,VERIFIED,PETCI
视如寇仇,regard somebody as one's enemy,VERIFIED,PETCI
视若无睹,turn a blind eye to,VERIFIED,PETCI
视死如归,look death calmly in the face,VERIFIED,PETCI
视而不见,turn a blind eye to,VERIFIED,PETCI
视而不见，听而不闻,"look at but not pay attention to, listen to but hear nothing",VERIFIED,PETCI
视为知己,regard as a good friend,VERIFIED,PETCI
视为畏途,keep away from something,VERIFIED,PETCI
亲密无间,be on very intimate terms,VERIFIED,PETCI
亲痛仇快,sadden one's friends and gladden one's enemies,VERIFIED,PETCI
解放思想,free oneself from old ideas,VERIFIED,PETCI
解囊相助,help somebody generously with money,VERIFIED,PETCI
解铃系铃,whoever started the trouble should end it,VERIFIED,PETCI
解甲归田,retire from service,VERIFIED,PETCI
触目皆是,can be seen everywhere,VERIFIED,PETCI
触目惊心,appalling,VERIFIED,PETCI
触类旁通,reason by analogy,VERIFIED,PETCI
触景生情,recall old memories at familiar sights,VERIFIED,PETCI
言必信，行必果,always be true in word and resolute in deed,VERIFIED,PETCI
言必有中,whenever one says something one hits the nail on the head,VERIFIED,PETCI
言不及义,talk frivolously,VERIFIED,PETCI
言不由衷,speak insincerely,VERIFIED,PETCI
言听计从,have implicit faith in somebody,VERIFIED,PETCI
言过其实,overstate,VERIFIED,PETCI
言归正传,get to business,VERIFIED,PETCI
言归于好,start with a clean slate,VERIFIED,PETCI
言简意赅,concise and comprehensive,VERIFIED,PETCI
言近旨远,some simple words carry a profound meaning,VERIFIED,PETCI
言行不一,one's actions are not in keeping with one's promises,VERIFIED,PETCI
言行一致,practise what one preaches,VERIFIED,PETCI
言之成理,have sense,VERIFIED,PETCI
言之凿凿,speak on good grounds,VERIFIED,PETCI
言之无物,be devoid of substance,VERIFIED,PETCI
言者无罪，闻者足戒,it is not the one who speaks who is culpable; it is up to the one who listens to exercise due caution,VERIFIED,PETCI
言出法随,enforce the regulations to the letter,VERIFIED,PETCI
言传身教,teach by personal example as well as verbal instruction,VERIFIED,PETCI
言人人殊,different people give different views,VERIFIED,PETCI
言而有信,be as good as one's word,VERIFIED,PETCI
言而无信,go back on one's word,VERIFIED,PETCI
言犹在耳,the words are still ringing in one's ears,VERIFIED,PETCI
言外之意,an implied meaning,VERIFIED,PETCI
言为心声,one's words reflect one's thinking,VERIFIED,PETCI
计日程功,estimate exactly how much time is needed to complete a project,VERIFIED,PETCI
讨好卖乖,curry favor with,VERIFIED,PETCI
讨价还价,haggle over the price,VERIFIED,PETCI
训练有素,well-trained,VERIFIED,PETCI
记忆犹新,remain fresh in one's memory,VERIFIED,PETCI
设身处地,put oneself in somebody else's position,VERIFIED,PETCI
评头品足,find fault with,VERIFIED,PETCI
词不达意,the language fail to express the idea,VERIFIED,PETCI
诡计多端,have the whole bag of tricks,VERIFIED,PETCI
诘屈聱牙,difficult to pronounce or comprehend,VERIFIED,PETCI
话不投机半句多,"when the conversation gets disagreeable, to say one word more is a waste of breath",VERIFIED,PETCI
诛求无厌,make endless exorbitant demands,VERIFIED,PETCI
诛锄异己,wipe out dissenters,VERIFIED,PETCI
夸大其词,exaggerate,VERIFIED,PETCI
夸夸其谈,talk big,VERIFIED,PETCI
认贼作父,treat a thief as one's father,VERIFIED,PETCI
誓不甘休,swear not to stop,VERIFIED,PETCI
誓不两立,be irreconcilable,VERIFIED,PETCI
誓死不二,swear to be loyal forever,VERIFIED,PETCI
诱敌深入,lure the enemy troops in deep,VERIFIED,PETCI
语重心长,talk in earnest,VERIFIED,PETCI
语焉不详,not elaborate on,VERIFIED,PETCI
语无伦次,speak incoherently,VERIFIED,PETCI
诚惶诚恐,with reverence and awe,VERIFIED,PETCI
诚心诚意,whole-heartedly,VERIFIED,PETCI
误人子弟,lead young people astray,VERIFIED,PETCI
误入歧途,go astray,VERIFIED,PETCI
诲盗诲淫,propagate violence and sex,VERIFIED,PETCI
诲人不倦,teach with tireless zeal,VERIFIED,PETCI
说到做到,live up to one's word,VERIFIED,PETCI
说来话长,it's a long story,VERIFIED,PETCI
说长道短,gossip,VERIFIED,PETCI
说曹操，曹操就到,talk of the devil and he will appear,VERIFIED,PETCI
说一不二,mean what one says,VERIFIED,PETCI
调兵遣将,transfer troops,VERIFIED,PETCI
调虎离山,lure the tiger out of the mountains,VERIFIED,PETCI
谄上欺下,fawn on those above and bully those below,VERIFIED,PETCI
谆谆告诫,tirelessly counsel,VERIFIED,PETCI
谈天说地,talk of anything under the sun,VERIFIED,PETCI
谈何容易,easier said than done,VERIFIED,PETCI
谈虎色变,turn pate at the mere mention of something terrible,VERIFIED,PETCI
谈笑风生,talk cheerfully and humorously,VERIFIED,PETCI
